All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
82.0,56.18504707612032,55.78975208193895,,,
83.0,55.790075456204136,55.3953477042635,,,
84.0,55.395658565043675,55.00161047147594,,,
85.0,55.00190849450506,54.60865227398803,,,
86.0,54.608937146946396,54.21658478082889,,,
87.0,54.21685620341551,53.82551940791144,,,
88.0,53.8257770919106,53.43556728637078,,,
89.0,53.435810955712796,53.046839230983366,,,
90.0,53.04706862179964,52.659445708676266,,,
91.0,52.65966056934843,52.27349680713516,,,
92.0,52.273696898338486,51.88910220352013,,,
93.0,51.88928729826109,51.50637113329812,,,
94.0,51.50654101694612,51.12541235920088,,,
95.0,51.12556682951427,50.74633414031734,,,
96.0,50.746473007463464,50.369244201329,,,
97.0,50.36936728789855,49.99424970189727,,,
98.0,49.994356842912765,49.62145720621126,,,
99.0,49.621548249129845,49.25097265270497,,,
100.0,49.25104745741528,48.88290132395212,,,
101.0,48.882959762765516,48.517347816747474,,,
102.0,48.51738977438345,48.15441601238301,,,
103.0,48.15444138594889,47.794209047127396,,,
104.0,47.79421774609234,47.436829282917245,,,
105.0,47.43682122908053,47.08237827826832,,,
106.0,47.08235340572202,46.73095675941518,,,
107.0,46.73091501450111,46.38266459168719,,,
108.0,46.382605932948394,46.03760075112933,,,
109.0,46.03752514925583,45.6958632963756,,,
110.0,45.69577073414474,45.35754934078319,,,
111.0,45.357439812994414,45.02275502483522,,,
112.0,45.02262853823941,44.69157548882008,,,
113.0,44.69143206204344,44.364104845794785,,,
114.0,44.363944509257394,44.04043615484047,,,
115.0,44.04025895066944,43.72066139461723,,,
116.0,43.72046737655465,43.40487143722607,,,
117.0,43.40466067053164,43.09315602238532,,,
118.0,43.09292858373382,42.785603731928774,,,
119.0,42.785359709302426,42.48230196463294,,,
120.0,42.482041457208666,42.183336911380486,,,
121.0,42.18306002941211,41.88879353066688,,,
122.0,41.888500395362435,41.598755524457296,,,
123.0,41.5984462678514,41.313305314400594,,,
124.0,41.31298007922191,41.032524018407074,,,
125.0,41.03218295794116,40.75649142759682,,,
126.0,40.756134705544085,40.48528598362502,,,
127.0,40.48491377395415,40.21898475639074,,,
128.0,40.21859724318756,39.95766342213562,,,
129.0,39.95726079944737,39.70139624193849,,,
130.0,39.700978713613765,39.450256040612274,,,
131.0,39.44982382013655,39.204314186008915,,,
132.0,39.20386749633584,38.9636405687384,,,
133.0,38.96317964211688,38.7283035823076,,,
134.0,38.72782866010476,38.49837010368452,,,
135.0,38.49788143620465,38.27390547429346,,,
136.0,38.273403320593005,38.054973481446666,,,
137.0,38.05445810914532,37.8416363402175,,,
138.0,37.84110802530559,37.63395467576048,,,
139.0,37.63341370240259,37.43198750608308,,,
140.0,37.43143416641813,37.235792225274295,,,
141.0,37.235226819212045,37.04542458719463,,,
142.0,37.04484742220886,36.86093868963225,,,
143.0,36.8603500805505,36.68238695892968,,,
144.0,36.681787227719894,36.509820135085626,,,
145.0,36.509209610639516,36.343287257335795,,,
146.0,36.34266627524927,36.18283565021724,,,
147.0,36.18220455256791,36.02851091011988,,,
148.0,36.0278700452416,35.880356892329104,,,
149.0,35.879706614583895,35.73841569856319,,,
150.0,35.7377563681105,35.60272766500904,,,
151.0,35.602059647572446,35.473331350859674,,,
152.0,35.47265501749112,35.350263527356546,,,
153.0,35.34957925419836,35.23355916734019,,,
154.0,35.23286733538475,35.123251435311694,,,
155.0,35.12255243015912,35.01937167800827,,,
156.0,35.01866588962194,34.92194941549519,,,
157.0,34.921237237955516,34.831012332776965,,,
