All days with start 2022-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
99.0,50.62738370901996,49.53709796956821,,,
100.0,50.24363619547135,49.16707524722378,,,
101.0,49.8620918221577,48.799525470238834,,,
102.0,49.482863648911206,48.43455162264983,,,
103.0,49.10606404922402,48.072255966741714,,,
104.0,48.73180467694952,47.71274001439498,,,
105.0,48.36019643321689,47.356104498642985,,,
106.0,47.99134943356873,47.002449345447474,,,
107.0,47.62537297533139,46.65187364570028,,,
108.0,47.262375505227865,46.30447562745894,,,
109.0,46.90246458724268,45.96035262842412,,,
110.0,46.54574687074835,45.61960106866654,,,
111.0,46.19232805890286,45.28231642361087,,,
112.0,45.842312877327565,44.948593197284495,,,
113.0,45.49580504307472,44.6185248958383,,,
114.0,45.15290723389386,44.29220400134712,,,
115.0,44.81372105780619,43.96972194589721,,,
116.0,44.478347022995905,43.65116908596768,,,
117.0,44.14688450802751,43.336634677113544,,,
118.0,43.81943173239773,43.026206848957145,,,
119.0,43.49608572743099,42.71997258049497,,,
120.0,43.17694230752693,42.41801767572705,,,
121.0,42.86209604176855,42.1204267396154,,,
122.0,42.55164022589935,41.82728315437851,,,
123.0,42.24566685467774,41.538669056128455,,,
124.0,41.94426659461707,41.25466531185707,,,
125.0,41.64752875711913,40.9753514967778,,,
126.0,41.35554127200932,40.700805872029456,,,
127.0,41.06839066148107,40.431105362748156,,,
128.0,40.7861620144575,40.16632553651364,,,
129.0,40.50893896137771,39.906540582175936,,,
130.0,40.23680364941531,39.651823289068304,,,
131.0,39.96983671813638,39.40224502661238,,,
132.0,39.70811727560427,39.157875724321066,,,
133.0,39.451722874938184,38.918783852204996,,,
134.0,39.20072949133248,38.68503640158785,,,
135.0,38.95521149954361,38.456698866335984,,,
136.0,38.71524165185124,38.233835224507686,,,
137.0,38.480891056500205,38.01650792042713,,,
138.0,38.25222915662963,37.80477784718797,,,
139.0,38.02932370969537,37.59870432959178,,,
140.0,37.81224076739204,37.398345107525735,,,
141.0,37.601044656080475,37.203756319784404,,,
142.0,37.39579795772646,37.01499248834024,,,
143.0,37.19656149135626,36.83210650306698,,,
144.0,37.003394295034795,36.65514960692042,,,
145.0,36.81635360837118,36.484171381580595,,,
146.0,36.63549485555757,36.31921973355951,,,
147.0,36.46087162894565,36.16034088077808,,,
148.0,36.29253567316616,36.00757933961639,,,
149.0,36.130536869795776,35.86097791244056,,,
150.0,35.974923222576166,35.72057767560995,,,
151.0,35.82574084318941,35.58641796796793,,,
152.0,35.683033937594146,35.45853637981952,,,
153.0,35.546844792926365,35.336968742398895,,,
154.0,35.41721376496885,35.221749117829866,,,
155.0,35.29417926619283,35.112909789581934,,,
156.0,35.17777775437558,35.01048125342477,,,
157.0,35.06804372179725,34.914492208883644,,,
158.0,34.96500968501992,34.824969551198,,,
159.0,34.86870617525234,34.7419383637857,,,
160.0,34.779161729302864,34.665421911214885,,,
161.0,34.69640288112335,34.59544163268546,,,
162.0,34.62045415394659,34.532017136022,,,
163.0,34.55133805301956,34.47516619217987,,,
164.0,34.48907505893462,34.424904730265936,,,
165.0,34.43368362156065,34.38124683307535,,,
166.0,34.38518015457599,34.34420473314576,,,
167.0,34.3435790306047,34.313788809329786,,,
168.0,34.308892576957646,34.29000758388701,,,
169.0,34.28113107197964,34.272867720096095,,,
170.0,34.26030274200373,34.26237402038781,,,
171.0,34.24641375891362,34.25852942499942,,,
172.0,34.23946823831474,34.26133501115089,,,
173.0,34.23946823831474,34.270789992743005,,,
174.0,34.24641375891362,34.28689172057767,,,
175.0,34.26030274200373,34.309635683100176,,,
176.0,34.28113107197964,34.339015507663305,,,
177.0,34.308892576957646,34.375022962312876,,,
178.0,34.3435790306047,34.417647958094264,,,
179.0,34.38518015457599,34.46687855187922,,,
180.0,34.43368362156065,34.522700949712274,,,
181.0,34.48907505893462,34.58509951067559,,,
182.0,34.55133805301956,34.6540567512715,,,
183.0,34.62045415394658,34.729553350321126,,,
184.0,34.69640288112335,34.81156815437807,,,
185.0,34.779161729302864,34.90007818365538,,,
186.0,34.86870617525234,34.99505863846427,,,
187.0,34.96500968501992,35.09648290616277,,,
188.0,35.06804372179725,35.20432256861234,,,
189.0,35.17777775437559,35.31854741014037,,,
190.0,35.29417926619281,35.43912542600631,,,
191.0,35.41721376496884,35.56602283136918,,,
192.0,35.546844792926365,35.699204070753645,,,
193.0,35.683033937594146,35.838631828012424,,,
194.0,35.82574084318941,35.984267036781894,,,
195.0,35.97492322257616,36.136068891428124,,,
196.0,36.130536869795776,36.293994858480254,,,
197.0,36.29253567316615,36.45800068854795,,,
198.0,36.46087162894564,36.62804042871967,,,
199.0,36.63549485555757,36.804066435438294,,,
200.0,36.81635360837119,36.98602938785034,,,
201.0,37.003394295034795,37.17387830162525,,,
202.0,37.19656149135627,37.36756054324073,,,
203.0,37.39579795772645,37.567021844730135,,,
204.0,37.601044656080475,37.77220631888792,,,
205.0,37.81224076739204,37.98305647492862,,,
206.0,38.02932370969537,38.199513234595315,,,
207.0,38.252229156629625,38.421515948712766,,,
208.0,38.4808910565002,38.649002414180806,,,
209.0,38.715241651851244,38.881908891402986,,,
210.0,38.95521149954361,39.12017012214588,,,
211.0,39.20072949133249,39.36371934782383,,,
212.0,39.451722874938184,39.61248832820405,,,
213.0,39.708117275604266,39.86640736052695,,,
214.0,39.96983671813638,40.12540529903618,,,
215.0,40.23680364941531,40.389409574913,,,
216.0,40.50893896137771,40.6583462166094,,,
217.0,40.78616201445749,40.93213987057425,,,
218.0,41.06839066148106,41.21071382236666,,,
219.0,41.355541272009305,41.49399001815063,,,
220.0,41.64752875711913,41.78188908656508,,,
221.0,41.94426659461706,42.07433036096288,,,
222.0,42.24566685467774,42.37123190201295,,,
223.0,42.55164022589935,42.67251052065888,,,
224.0,42.862096041768545,42.97808180142775,,,
225.0,43.17694230752693,43.287860126082556,,,
226.0,43.49608572743097,43.60175869761164,,,
